M1  Porb K  M2(actual) M2_min
0.25 0.5 184.827 0.701198 0.635243
0.25 0.5 211.522 1.36858 0.830106
0.25 0.5 258.858 1.33191 1.28298
0.25 0.5 138.889 0.387663 0.380846
0.25 0.5 170.242 0.831002 0.54434
0.25 0.5 83.6909 0.869065 0.176882
0.25 0.5 264.281 1.36279 1.34489
0.25 0.5 176.474 0.877359 0.58193
0.25 0.5 244.315 1.34032 1.12765
0.25 0.5 125.962 0.741905 0.324522
0.25 0.5 204.908 1.06444 0.778146
0.25 0.5 182.448 0.686346 0.619708
0.25 0.5 197.423 0.729764 0.722344
0.25 0.5 148.182 0.500628 0.425125
0.25 0.5 215.128 0.870142 0.859512
0.25 0.5 197.032 0.788428 0.719515
0.25 0.5 127.364 0.390837 0.330348
0.25 0.5 153.438 0.698315 0.451672
0.25 0.5 124.078 0.897703 0.316797
0.25 0.5 130.053 0.985771 0.341713
0.25 0.5 263.91 1.35106 1.34057
0.25 0.5 130.152 1.38396 0.342135
0.25 0.5 175.03 0.761048 0.57306
0.25 0.5 226.201 1.36769 0.954764
0.25 0.5 230.426 1.31193 0.993145
0.25 0.5 258.98 1.33217 1.28434
0.25 0.5 161.326 0.88358 0.493644
0.25 0.5 218.194 0.983582 0.885126
0.25 0.5 213.926 0.864723 0.849624
0.25 0.5 262.645 1.33271 1.32597
0.25 0.5 201.235 0.783421 0.750375
0.25 0.5 57.3041 0.8295 0.107632
0.25 0.5 164.347 0.667194 0.510425
0.25 0.5 143.608 0.411888 0.402921
0.25 0.5 171.696 0.611752 0.552951
0.25 0.5 149.844 0.833577 0.433402
0.25 0.5 133.965 0.835938 0.358693
0.25 0.5 166.527 0.841615 0.522785
0.25 0.5 135.369 0.401888 0.364919
0.25 0.5 168.044 0.539847 0.53151
0.25 0.5 191.404 0.77294 0.679682
0.25 0.5 174.112 0.874845 0.567467
0.25 0.5 133.58 0.464219 0.356998
0.25 0.5 140.506 0.633771 0.388314
0.25 0.5 123.057 0.83274 0.312659
0.25 0.5 115.602 0.444758 0.283468
0.25 0.5 145.753 0.419782 0.413234
0.25 0.5 181.089 0.886737 0.610965
0.25 0.5 136.683 0.835755 0.370813
0.25 0.5 217.246 0.880665 0.877145
0.25 0.5 224.627 1.35776 0.940758
0.25 0.5 83.9009 0.843851 0.177495
0.25 0.5 135.45 0.561317 0.365283
0.25 0.5 173.195 0.633877 0.561924
0.25 0.5 214.098 0.875381 0.851034
0.25 0.5 168.245 0.635814 0.532677
0.25 0.5 225.182 1.0096 0.945673
0.25 0.5 192.821 0.698612 0.689553
0.25 0.5 222.083 0.918629 0.918452
0.25 0.5 149.489 0.955138 0.431626
0.25 0.5 191.522 0.689115 0.6805
0.25 0.5 173.949 0.608547 0.56648
0.25 0.5 93.0627 0.447249 0.205335
0.25 0.5 251.59 1.34841 1.20344
0.25 0.5 262.671 1.32652 1.32627
0.25 0.5 197.189 0.840842 0.720652
0.25 0.5 94.068 0.431407 0.20852
0.25 0.5 130.391 0.54756 0.343158
0.25 0.5 60.0651 0.951781 0.114194
0.25 0.5 205.053 1.31857 0.779261
0.25 0.5 161.479 0.641437 0.494486
0.25 0.5 141.21 0.51145 0.391598
0.25 0.5 140.109 0.812795 0.386473
0.25 0.5 226.858 0.960652 0.960652
0.25 0.5 124.485 0.326314 0.318455
0.25 0.5 125.867 0.340842 0.32413
0.25 0.5 181.887 0.673797 0.616086
0.25 0.5 161.085 0.543965 0.492322
0.25 0.5 215.473 0.886737 0.862364
0.25 0.5 72.9759 0.776126 0.146935
0.25 0.5 176.267 0.582625 0.580657
0.25 0.5 214.097 0.902137 0.851021
0.25 0.5 190 0.747575 0.670011
0.25 0.5 168.26 0.598162 0.532762
0.25 0.5 157.728 0.475083 0.474173
0.25 0.5 264.408 1.34904 1.34636
0.25 0.5 201.876 0.758341 0.75517
0.25 0.5 120.206 0.358458 0.301283
0.25 0.5 79.9115 0.493778 0.166015
0.25 0.5 202.282 0.891664 0.758217
0.25 0.5 132.537 0.385794 0.352433
0.25 0.5 163.568 0.610374 0.506063
0.25 0.5 231.789 1.37099 1.00577
0.25 0.5 214.446 0.902573 0.853886
0.25 0.5 144.707 0.433992 0.408179
0.25 0.5 135.482 0.492706 0.365424
0.25 0.5 87.2731 0.839285 0.187498
0.25 0.5 221.048 1.33748 0.909492
0.25 0.5 219.907 0.944337 0.899691
0.25 0.5 202.924 0.817182 0.763053
